,Player,Tm,season17_18
335,John Collins,ATL,"$1,936,920 "
336,Anderson Varejao,POR,"$1,913,345 "
337,Rashad Vaughn,NOP,"$1,889,040 "
338,Tim Duncan,SAS,"$1,881,250 "
339,Wade Baldwin,MEM,"$1,874,400 "
340,Larry Sanders,MIL,"$1,865,547 "
341,Harry Giles,SAC,"$1,859,400 "
342,Sam Dekker,LAC,"$1,794,600 "
343,Terrance Ferguson,OKC,"$1,785,000 "
344,Henry Ellenson,DET,"$1,780,800 "
345,Eric Moreland,DET,"$1,739,333 "
346,Jerian Grant,CHI,"$1,713,840 "
347,Jarrett Allen,BRK,"$1,713,720 "
348,Mike Scott,WAS,"$1,709,538 "
349,Tyler Zeller,MIL,"$1,709,538 "
350,Quincy Acy,BRK,"$1,709,538 "
351,Malik Beasley,DEN,"$1,700,640 "
352,Mike Dunleavy,ATL,"$1,662,500 "
353,Delon Wright,TOR,"$1,645,200 "
354,OG Anunoby,TOR,"$1,645,200 "
355,Ante Zizic,CLE,"$1,645,200 "
356,Caris LeVert,BRK,"$1,632,480 "
357,Justin Anderson,PHI,"$1,579,440 "
358,Tyler Lydon,DEN,"$1,579,440 "
359,Jeff Withey,DAL,"$1,577,320 "
360,Ian Clark,NOP,"$1,577,230 "
361,Shabazz Muhammad,MIN,"$1,577,230 "
362,Willie Reed,CHI,"$1,577,230 "
363,DeAndre Liggins,MIL,"$1,577,230 "
364,DeAndre' Bembry,ATL,"$1,567,200 "
365,Joffrey Lauvergne,SAS,"$1,524,305 "
366,Jerami Grant,OKC,"$1,524,305 "
367,Johnny O'Bryant,NYK,"$1,524,305 "
368,Tyler Ennis,LAL,"$1,524,305 "
369,Julyan Stone,CHO,"$1,524,305 "
370,Sean Kilpatrick,BRK,"$1,524,305 "
371,Joe Harris,BRK,"$1,524,305 "
372,Spencer Dinwiddie,BRK,"$1,524,305 "
373,Shane Larkin,BOS,"$1,524,305 "
374,Glenn Robinson,IND,"$1,524,305 "
375,Bobby Brown,HOU,"$1,524,305 "
376,Bobby Portis,CHI,"$1,516,320 "
377,Malachi Richardson,TOR,"$1,504,560 "
378,Arron Afflalo,SAC,"$1,500,000 "
379,Norman Powell,TOR,"$1,471,382 "
380,Josh Richardson,MIA,"$1,471,382 "
